Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
"Special offer 25% Off. Use Code &#39;EDUTT&#39; - <a href=""https://eduquest.courses/"">https://EduQuest.courses</a><br>Digital Marketing, Stock Market Courses from Experts. Call 8113 8113 95",special offer off use code edutt a href marketing stock market courses from experts call,special offer off use code edutt a href marketing stock market courses from experts call,special offer off use code edutt a href marketing stock market courses from experts call,Positive
Best Review,best review,best review,best review,Positive
1 2 ethum paakala 😅😅,ethum paakala,Ethum Paakala,Ethum Paakala,Neutral
"this reviewer made a film and it was a big flop, still he is confidently talking about mitakes or shortcomings of other movies/film nakers",this reviewer made a film and it was a big flop still he is confidently talking about mitakes or shortcomings of other moviesfilm nakers,this reviewer made a film and it was a big flop still he is confidently talking about mitakes or shortcomings of other moviesfilm nakers,this reviewer made a film and it was a big flop still he is confidently talking about mitakes or shortcomings of other moviesfilm nakers,Positive
"Straight ah Netflix la pushpa 2 pathutu varen, biryani saptu dessert sapdala na epdi 😂 thoroughly enjoyed the movie (stress buster )and laughed out loud seeing your review 😂😂",straight ah netflix la pushpa pathutu varen biryani saptu dessert sapdala na epdi thoroughly enjoyed the movie stress buster and laughed out loud seeing your review,straight ah netflix la pushpa pathutu varen biryani saptu dessert sapdala na epdi thoroughly enjoyed the movie stress buster and laughed out loud seeing your review,straight ah netflix la pushpa pathutu varen biryani saptu dessert sapdala na epdi thoroughly enjoyed the movie stress buster and laughed out loud seeing your review,Positive
"Yow nejamaave nalla padamya.... Just watched in Netflix.. Telugu cinema is doing 1700 crores, neenga tamil movie ellathayum  criticize panni padatha saavadichutu... Tamil cinema va naasam pannadeenga...",yow nejamaave nalla padamya just watched in netflix telugu cinema is doing crores neenga tamil movie ellathayum criticize panni padatha saavadichutu tamil cinema va naasam pannadeenga,Yow Nejamave Nalla Padamya Just Watched in Netflix Telugu Cinema Is Doing Crores Nivea Tamil Movie Ellathayum Criticize Padatha Saavadichutu Tamil Cinema Vaasasa Vaasasa Vaasasa Vaasena,Yow Nejamave Nalla Padamya Just Watched in Netflix Telugu Cinema Is Doing Crores Nivea Tamil Movie Ellathayum Criticize Padatha Saavadichutu Tamil Cinema Vaasasa Vaasasa Vaasasa Vaasena,Neutral
திருட்டு திராவிட புத்தி காட்டிட்ட.....இதே படத்தை தமிழ் டைரக்டர் எடுத்து தமிழ் நடிகர் நடித்து இருந்த நீ இது மாறி பேசமாட்டா....கேவலமா பேசுவ நீ தமிழனாக இருக்க மாட்ட,தரடட தரவட பதத கடடடடஇத படதத தமழ டரகடர எடதத தமழ நடகர நடதத இரநத ந இத மற பசமடடகவலம பசவ ந தமழனக இரகக மடட,"This is the quality of the quality of the quality of the film, which is the best way to do this.",This is the quality of the quality of the quality of the film which is the best way to do this,Positive
Pushpa 2 success is the worst day of Indian film history. Indian peoples standards have gone so low that they prefer movies like this!,pushpa success is the worst day of indian film history indian peoples standards have gone so low that they prefer movies like this,pushpa success is the worst day of indian film history indian peoples standards have gone so low that they prefer movies like this,pushpa success is the worst day of indian film history indian peoples standards have gone so low that they prefer movies like this,Negative
Reloaded Version gives explanation on netflix. Looks like its a CUT for 20 minutes,reloaded version gives explanation on netflix looks like its a cut for minutes,reloaded version gives explanation on netflix looks like its a cut for minutes,reloaded version gives explanation on netflix looks like its a cut for minutes,Neutral
U people are stomach burning assholes make the film like that and show 😂😂😂mingaleka mangalavaram antaru 😂😂😂,u people are stomach burning assholes make the film like that and show mingaleka mangalavaram antaru,u people are stomach burning assholes make the film like that and show mingaleka mangalavaram antaru,u people are stomach burning assholes make the film like that and show mingaleka mangalavaram antaru,Neutral
Palaiya parthipan padamathiri irrukku,palaiya parthipan padamathiri irrukku,Palaiya PARTHIPAN PADAMATIRI IRRUKKU,Palaiya PARTHIPAN PADAMATIRI IRRUKKU,Neutral
👌,,,,Neutral
Now see ott version <br>Answer yr question,now see ott version branswer yr question,now see ott version branswer yr question,now see ott version branswer yr question,Neutral
This is What we know that how tamil industry falldown... As we know that pushpa 2 got 1800+cr we have to receive the content not masala ok...,this is what we know that how tamil industry falldown as we know that pushpa got cr we have to receive the content not masala ok,this is what we know that how tamil industry falldown as we know that pushpa got cr we have to receive the content not masala ok,this is what we know that how tamil industry falldown as we know that pushpa got cr we have to receive the content not masala ok,Positive
படம் நல்லா இருக்கு,படம நலல இரகக,Immigration variety,Immigration variety,Neutral
பஷ்பா2;  The rule super hit movie. World record...in collection.,பஷப the rule super hit movie world recordin collection,பஷப the rule super hit movie world recordin collection,the rule super hit movie world recordin collection,Positive
அடேய்( ஜப்பான் )அது கனவு சீன் டா பேப்பயலே,அடய ஜபபன அத கனவ சன ட பபபயல,Adya Japana is a dream.,Adya Japana is a dream,Neutral
Hello pombala vesham nu sollure avanga kaali amman vedham puridha kaali amman 🙏 yaruya nee theliva pesu ya <br>Vaaiku vandhade pesura,hello pombala vesham nu sollure avanga kaali amman vedham puridha kaali amman yaruya nee theliva pesu ya brvaaiku vandhade pesura,Hello pombala vesham nu Sollure Avanta Kaali Amman Vedham Puridha Kaali Kaali Amman Yaruya Nee Theliva Laundry Ya Brvaaiku Vandhade Washinga,Hello pombala vesham nu Sollure Avanta Kaali Amman Vedham Puridha Kaali Kaali Amman Yaruya Nee Theliva Laundry Ya Brvaaiku Vandhade Washinga,Neutral
First Japan fight and falling into sea is a nightmare dream scream for allu Arjun I think,first japan fight and falling into sea is a nightmare dream scream for allu arjun i think,first japan fight and falling into sea is a nightmare dream scream for allu arjun i think,first japan fight and falling into sea is a nightmare dream scream for allu arjun i think,Positive
"Oru padathuku edu climax nu neanga yen sir decide pandringa , starting la Vera villan ending la Vera villan , ungaluku oru opinion irunda ada neanga vachi konga , ivalo kora soldringa , neanga oru padam hero va nadichi paarunga , inda ulagame ungala evalo kaluvi oothudunu appa theriyum , nadippe varala idula nadikiravangaka kora solli kaasu sambarikka alairia neanga ellam , manisha janmangala",oru padathuku edu climax nu neanga yen sir decide pandringa starting la vera villan ending la vera villan ungaluku oru opinion irunda ada neanga vachi konga ivalo kora soldringa neanga oru padam hero va nadichi paarunga inda ulagame ungala evalo kaluvi oothudunu appa theriyum nadippe varala idula nadikiravangaka kora solli kaasu sambarikka alairia neanga ellam manisha janmangala,"ORU, Edu Climax Nu Neanga Yen Sir Sir Decide Pandringa Starting La Vera Villan La Vera Villan Ungaluku Oru Irunda Irunda There is Neanga Vachi Konga Ivalo Kora Soldringa Neanga ORU ORU OURI VA VA Nadichi Theriyum Nadippe Varala Idula Nadikiravangaka Koranu Kaasu Sambarikka Alairia Neanga Ellam Manisha Janmangala",ORU Edu Climax Nu Neanga Yen Sir Sir Decide Pandringa Starting La Vera Villan La Vera Villan Ungaluku Oru Irunda Irunda There is Neanga Vachi Konga Ivalo Kora Soldringa Neanga ORU ORU OURI VA VA Nadichi Theriyum Nadippe Varala Idula Nadikiravangaka Koranu Kaasu Sambarikka Alairia Neanga Ellam Manisha Janmangala,Neutral
Kaji pidicha padam,kaji pidicha padam,Kaji Pidam Padam,Kaji Pidam Padam,Neutral
The most hatred film .,the most hatred film,the most hatred film,the most hatred film,Positive
புஷ்பா புருஷன்🤗,பஷப பரஷன,Pashabha Parashana,Pashabha Parashana,Neutral
What ever telugu masala movie... crossed 2000 cr,what ever telugu masala movie crossed cr,what ever telugu masala movie crossed cr,what ever telugu masala movie crossed cr,Neutral
படம் பார்த்த depression அ உங்கள் review பார்த்து சிரித்து குறைத்தேன் 😂😂😂😂,படம பரதத depression அ உஙகள review பரதத சரதத கறததன,Image Paradise Depression Your Review,Image Paradise Depression Your Review,Neutral
😀,,,,Neutral
Pushpa puruse highlight 😂,pushpa puruse highlight,pushpa puruse highlight,pushpa puruse highlight,Neutral
Evn oru lus kut.. Adikdi nirbkran. பொறாமை pdu.. Tis is sper hero stry da naaaaaaya,evn oru lus kut adikdi nirbkran பறம pdu tis is sper hero stry da naaaaaaya,EVN ORU LUS KUPI NIRBKRAN பறம PDU TIS IS SPER HERO STRY DA NAAAAAAAA,EVN ORU LUS KUPI NIRBKRAN PDU TIS IS SPER HERO STRY DA NAAAAAAAA,Neutral
"I&#39;m a Telugu person, I support this review.....Sukumar is a over rated director.....and so is this film...!!!",im a telugu person i support this reviewsukumar is a over rated directorand so is this film,im a telugu person i support this reviewsukumar is a over rated directorand so is this film,im a telugu person i support this reviewsukumar is a over rated directorand so is this film,Neutral
"This movie is special for MILK POURING ON POSTER boys and girls , not for people who have even a bit of human intellect",this movie is special for milk pouring on poster boys and girls not for people who have even a bit of human intellect,this movie is special for milk pouring on poster boys and girls not for people who have even a bit of human intellect,this movie is special for milk pouring on poster boys and girls not for people who have even a bit of human intellect,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=385"">6:25</a> to <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=416"">6:56</a> 😂😂😂 Yo Semma Nakkal ya unnakku",a href to a href yo semma nakkal ya unnakku,a href to a href yo semma nakkal of unnakku,a href to a href yo semma nakkal of unnakku,Neutral
Romba telugu padama irukkum😂😂,romba telugu padama irukkum,Romba telugu in irkkum,Romba telugu in irkkum,Neutral
Telugu movienave karuthu illatha moviethan,telugu movienave karuthu illatha moviethan,TElu Movienave Karuthu Illatha Moviethan,TElu Movienave Karuthu Illatha Moviethan,Neutral
Pushpa மொக்கை don&#39;t waste your value money,pushpa மகக dont waste your value money,pushpa மகக dont waste your value money,pushpa dont waste your value money,Negative
Ivanukk cash kidaikuthu athan intha mathiri review,ivanukk cash kidaikuthu athan intha mathiri review,ivanukk cash kidaikuthu athan intha mathiri review,ivanukk cash kidaikuthu athan intha mathiri review,Neutral
First scene is lead of next part pushpa 3,first scene is lead of next part pushpa,first scene is lead of next part pushpa,first scene is lead of next part pushpa,Positive
Target 1000 cr Achieved😂😂😂 Kadharunga da,target cr achieved kadharunga da,Target cr Achieved Kadhanga da,Target cr Achieved Kadhanga da,Neutral
"Pushpa, not flower, Bakwaas 😅😂🤣",pushpa not flower bakwaas,pushpa not flower bakwaas,pushpa not flower bakwaas,Neutral
ஜப்பான்காரன் தமிழ் ல பேசுறான் ஹீரோ ஜெபனிஷ் ல பேசுறான் நல்ல காமெடி 😁😁😁,ஜபபனகரன தமழ ல பசறன ஹர ஜபனஷ ல பசறன நலல கமட,Japanagarana Tamil,Japanagarana Tamil,Neutral
Pushpa 2 is good movie not bad compared to recent movies 😂😂,pushpa is good movie not bad compared to recent movies,pushpa is good movie not bad compared to recent movies,pushpa is good movie not bad compared to recent movies,Positive
Iniku than pushpa2 parthen..japanese sequence seems dream.not real..,iniku than pushpa parthenjapanese sequence seems dreamnot real,iniku than pushpa parthenjapanese sequence seems dreamnot real,iniku than pushpa parthenjapanese sequence seems dreamnot real,Positive
"I watch Pushpa 1 only 15 mins &amp; was wondering what&#39;s the craze? Only those with low IQ will enjoy such a idiotic movie, I&#39;m shocked got Pushpa 2. I hope people will not waste their precious time.",i watch pushpa only mins amp was wondering whats the craze only those with low iq will enjoy such a idiotic movie im shocked got pushpa i hope people will not waste their precious time,i watch pushpa only mins amp was wondering whats the craze only those with low iq will enjoy such a idiotic movie im shocked got pushpa i hope people will not waste their precious time,i watch pushpa only mins amp was wondering whats the craze only those with low iq will enjoy such a idiotic movie im shocked got pushpa i hope people will not waste their precious time,Negative
Many places no logic why not commented. If tamil actress do this mass you will criticise more... Make review honestly and properly for all movies...,many places no logic why not commented if tamil actress do this mass you will criticise more make review honestly and properly for all movies,many places no logic why not commented if tamil actress do this mass you will criticise more make review honestly and properly for all movies,many places no logic why not commented if tamil actress do this mass you will criticise more make review honestly and properly for all movies,Positive
Reshmika itchi 😂😂,reshmika itchi,Rehmika itchi,Rehmika itchi,Neutral
இவர யாரும் திட்ட வேணாம் அவர் வயசுக்கு இந்த படம் புரியாது பிடிக்காது தாத்தா போய் MGR சிவாஜி படத்த பாரு தாத்தா😅😅,இவர யரம தடட வணம அவர வயசகக இநத படம பரயத படககத ததத பய mgr சவஜ படதத பர ததத,MGR Savaja Paradise,MGR Savaja Paradise,Neutral
"Staring 15 mins கனவு யா,",staring mins கனவ ய,Staring mins கனவ ய,Staring mins,Neutral
😂😂😂😂😂,,,,Neutral
Perfect review Sir.. Hats off,perfect review sir hats off,perfect review sir hats off,perfect review sir hats off,Positive
Genuine review,genuine review,Genuine Review,Genuine Review,Positive
😁😁😁😁😁😁😁yewoo blue sattai..,yewoo blue sattai,Yewoo Blue Sattai,Yewoo Blue Sattai,Neutral
டேய் இந்த மொக்க படத்துக்கு ஏன்டா இப்படி சீன் போடுற தயவுசெஞ்சு யாரும் போயிடாதீங்க அப்படி சொல்லு நேர்மை,டய இநத மகக படததகக ஏனட இபபட சன படற தயவசஞச யரம பயடதஙக அபபட சலல நரம,Diamonds are the most common types of people.,Diamonds are the most common types of people,Positive
படமாடா இது குப்பையிலும் குப்பை பெரிய குப்பை,படமட இத கபபயலம கபப பரய கபப,Image,Image,Neutral
Cha ethala oru padama . 10 mt ku Mela paaka mudila first fight scene laye cut pannite over over Sean 😤😤,cha ethala oru padama mt ku mela paaka mudila first fight scene laye cut pannite over over sean,cha ethala oru padama mt ku mela paaka mudila first fight scene laye cut pannite over over sean,cha ethala oru padama mt ku mela paaka mudila first fight scene laye cut pannite over over sean,Positive
Highest gross of the year,highest gross of the year,highest gross of the year,highest gross of the year,Neutral
Rashmika pathi sollavea ila,rashmika pathi sollavea ila,Rashmika Pathi Solveaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Rashmika Pathi Solveaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Neutral
3rd partra adhu 😂 blue mutta,rd partra adhu blue mutta,RD PARTRA ADHU BLUE MUTTA,RD PARTRA ADHU BLUE MUTTA,Neutral
Padam pathiya da blue😂😂,padam pathiya da blue,Path Pathiya da blue,Path Pathiya da blue,Neutral
"எவ்வளவு கழுவி ஊத்தினாலும் படம் 1000 கோடி தாண்டிடுச்சு பாத்து பேசுங்க பா, 3.20 மணி நேரம் ஓடினாலும் படம் engaging தான் இருந்துச்சி நீயே 1st half நல்லா இருக்குண்டே one time watchable னு சொன்னாலே 1000 crore தாண்டிடும் தமிழ் audience அவ்வளவு கொண்டாடுறாங்க.",எவவளவ கழவ ஊததனலம படம கட தணடடசச பதத பசஙக ப மண நரம ஓடனலம படம engaging தன இரநதசச நய st half நலல இரககணட one time watchable ன சனனல crore தணடடம தமழ audience அவவளவ கணடடறஙக,How Much How To Make a Film Code,How Much How To Make a Film Code,Positive
